"estado";"candidato";"votos";"cargo";"ano";"turno";"partido";"candidato_name"
"Tocantins";"Mário Covas PSDB";9739;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Maranhão";"Mário Covas PSDB";44154;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Piauí";"Mário Covas PSDB";48763;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Ceará";"Mário Covas PSDB";477286;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"R. G. do Norte";"Mário Covas PSDB";56768;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Paraíba";"Mário Covas PSDB";94774;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Pernambuco";"Mário Covas PSDB";101093;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Alagoas";"Mário Covas PSDB";67240;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Sergipe";"Mário Covas PSDB";39499;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Bahia";"Mário Covas PSDB";248803;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Minas Gerais";"Mário Covas PSDB";799227;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Espírito Santo";"Mário Covas PSDB";118048;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Rio de Janeiro";"Mário Covas PSDB";643786;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"São Paulo";"Mário Covas PSDB";3802330;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Paraná";"Mário Covas PSDB";325652;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Santa Catarina";"Mário Covas PSDB";177980;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"R. G. do Sul";"Mário Covas PSDB";249384;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"M. G. do Sul";"Mário Covas PSDB";50465;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Mato Grosso";"Mário Covas PSDB";33472;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Goiás";"Mário Covas PSDB";101514;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Distrito Federal";"Mário Covas PSDB";135227;"Presidente";1989;"Turno 1";"PSDB";"Mário Covas"
"Rondônia";"Paulo Maluf PDS";24934;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Acre";"Paulo Maluf PDS";12882;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
